,0,1
1796,joyful,1
1797,manner,3
1798,appointments,1
1799,keeps,1
1800,theirs,1
1801,nowadays,1
1802,charming,3
1803,bought,18
1804,happen,8
1805,bright-eyed,1
1806,inconsequentially,1
1807,gotten,12
1808,celebrate,1
1809,childish,2
1810,dreadful,3
1811,cries,2
1812,begs,1
1813,reasonable,2
1814,luck,6
1815,wasted,1
1816,ones,9
1817,settle,2
1818,brightly,3
1819,publish,1
1820,alimony,1
1821,quickest,1
1822,use,8
1823,dropped,8
1824,terribly,6
1825,cheerful,3
1826,chickens,1
1827,triumph,1
1828,fall,5
1829,marble-topped,3
1830,secrets,1
1831,secret,7
1832,decent,2
1833,version,1
1834,sending,1
1835,generous,1
1836,aren't,1
1837,terrible,5
1838,destroyed,2
1839,impulse,2
1840,joking,3
1841,interrupted,3
1842,bonds,1
1843,careful,4
1844,mention,2
1845,unfortunate,1
1846,experience,2
1847,satisfactory,1
1848,audience,1
1849,secretary,4
1850,sweetest,1
1851,fare,1
1852,misunderstand,1
1853,platonic,2
1854,shall,4
1855,perish,1
1856,material,3
1857,film,1
1858,he's,2
1859,hope,10
1860,frightfully,7
1861,ladies,3
1862,without,15
1863,pity,13
1864,conversations,1
1865,literature,3
1866,sacrifices,1
1867,protest,1
1868,writer,7
1869,hardy,1
1870,anatole,1
1871,france,15
1872,died,2
1873,mistresses,1
1874,cried,2
1875,gloved,1
1876,they've,1
1877,vision,2
1878,mystic,1
1879,tablet,1
1880,lourdes,2
1881,mistress,2
1882,marries,1
1883,romance,1
1884,figure,2
1885,thicknesses,1
1886,7,1
1887,lodge,1
1888,telegram,10
1889,post,2
1890,mine,10
1891,large,5
1892,rocked,2
1893,speak,4
1894,frankly,1
1895,gentille,2
1896,très,2
1897,family,5
1898,eccentric,1
1899,quelqu'une,2
1900,owned,1
1901,drink-selling,1
1902,concession,1
1903,race-courses,1
1904,life-work,1
1905,pelouse,1
1906,pesage,1
1907,pride,1
1908,guests,1
1909,sportsmen,1
1910,pronounced,1
1911,categories,1
1912,chez,1
1913,extremely,1
1914,underfed-looking,1
1915,obviously,1
1916,duzinell,1
1917,sportsman,2
1918,asking,5
1919,occasionally,1
1920,evenings,2
1921,wondering,2
1922,wire,6
1923,cable,1
1924,bill,343
1925,gorton,7
1926,arriving,4
1927,shower,3
1928,rubbing,2
1929,door-bell,1
1930,pull,7
1931,bathrobe,2
1932,bunch,3
1933,roses,4
1934,bathing,3
1935,fortunate,2
1936,flowers,6
1937,liberty,1
1938,bringing,3
1939,filled,10
1940,earthenware,1
1941,jug,3
1942,placed,1
1943,centre,8
1944,blind,9
1945,brick,1
1946,drag,1
1947,nodded,12
1948,remembers,1
1949,fancy,2
1950,dress,4
1951,siphon,2
1952,tired,6
1953,rocky,3
1954,coolly,2
1955,forehead,3
1956,mad,4
1957,stroked,2
1958,lying,8
1959,loves,2
1960,lie,7
1961,quiet,20
1962,tromper,1
1963,couldn't,2
1964,quietly,4
1965,bilge,2
1966,michael,30
1967,san,43
1968,sebastian,33
1969,obstinate,1
1970,low,12
1971,shoes,6
1972,extraordinary,5
1973,means,6
1974,ring,27
1975,bell-pull,1
1976,basket,3
1977,motioned,1
1978,ice,5
1979,judge,1
1980,fellow,14
1981,raises,1
1982,grapes,2
1983,thousands,2
1984,acres,1
1985,veuve,1
1986,cliquot,1
1987,baron,1
1988,titles,1
1989,assure,1
1990,costs,1
1991,useful,1
1992,properly,1
1993,credit,3
1994,smoking,7
1995,flicking,1
1996,ashes,1
1997,rug,1
1998,notice,4
1999,ruin,1
2000,rugs,1
2001,ash-tray,1
2002,ash-trays,1
2003,spread,11
2004,bucket,3
2005,salted,1
2006,wait,11
2007,pigskin,1
2008,cigar-case,1
2009,cigar,8
2010,finish,8
2011,gold,2
2012,cutter,1
2013,draw,2
2014,cigars,4
2015,smoke,8
2016,puffed,2
2017,divorced,1
2018,need,6
2019,cloud,2
2020,mummy,1
2021,pleased,6
2022,enemies,1
2023,wrinkled,3
2024,corners,5
2025,reached,7
2026,twirled,1
2027,drinking,18
2028,ruddy,2
2029,sentences,1
2030,em,3
2031,system,2
2032,twirl,1
2033,towel,2
2034,wiped,10
2035,dry,9
2036,magnums,1
2037,amazing,3
2038,toast,4
2039,royalty,1
2040,toast-drinking,1
2041,mix,4
2042,emotions,1
2043,wines,2
2044,carefully,7
2045,ragging,1
2046,seven,9
2047,wars,1
2048,revolutions,1
2049,soldiering,1
2050,arrow,2
2051,wounds,2
2052,unbuttoned,1
2053,vest,1
2054,shirt,9
2055,undershirt,1
2056,chest,5
2057,stomach,3
2058,muscles,2
2059,bulging,1
2060,below,23
2061,ribs,1
2062,welts,1
2063,above,17
2064,scars,1
2065,thick,6
2066,finger,4
2067,tucking,1
2068,abyssinia,1
2069,twenty-one,1
2070,army,1
2071,values,9
2072,excellent,1
2073,waiters,8
2074,beaming,1
2075,lead,4
2076,careers,1
2077,noise,9
2078,eighteen,1
2079,ostentatious,1
2080,call,12
2081,value,3
2082,antiquities,2
2083,houseful,1
2084,smoky,1
2085,hit,20
2086,barely,1
2087,move,3
2088,nigger,17
2089,drummer,6
2090,jam,6
2091,hahre,1
2092,thaats,1
2093,dancer,2
2094,points,1
2095,writes,2
2096,loads,1
2097,support,2
2098,future,2
2099,personally,1
2100,gives,3
2101,willys,1
2102,shrugged,1
2103,shoulders,13
2104,can't,4
2105,shouted,15
2106,chanted,1
2107,sticks,2
2108,nightmare,2
2109,repeated,2
2110,sang,1
2111,softly,2
2112,dressing-room,1
2113,that's,1
2114,ridiculous,3
2115,wrap,1
2116,rung,1
2117,unlatched,1
2118,quickly,2
2119,twenty,8
2120,cap,1
2121,bell,2
2122,ii,1
2123,8,1
2124,concha,3
2125,weeks,4
2126,fishing-trip,2
2127,reach,2
2128,bankers,1
2129,bothered,1
2130,troubles,1
2131,enjoyed,2
2132,extra,2
2133,charge,9
2134,june,4
2135,vienna,13
2136,theatrical,1
2137,season,5
2138,crop,1
2139,heavyweights,1
2140,prospect,1
2141,grow,3
2142,weight,4
2143,trim,1
2144,dempsey,1
2145,fishing,14
2146,fiesta,46
2147,pamplona,24
2148,budapest,6
2149,bags,24
2150,rubbed,5
2151,remarkable,3
2152,suddenly,9
2153,lasted,1
2154,post-card,1
2155,possible,1
2156,prize-fight,2
2157,tiger,1
2158,glove,1
2159,noble-looking,1
2160,chairs,12
2161,sporting,3
2162,loaned,2
2163,claimed,3
2164,owed,1
2165,account,1
2166,wrecking,1
2167,hall,5
2168,translated,3
2169,harvard,1
2170,studying,2
2171,injustice,1
2172,promoter,1
2173,violated,1
2174,contract,1
2175,mister,1
2176,forty,5
2177,minutes,12
2178,musta,1
2179,ruptured,1
2180,swinging,8
2181,cologne,1
2182,unless,5
2183,island,6
2184,juncture,1
2185,denfert-rochereau,1
2186,flowing,1
2187,robes,1
2188,eyed,1
2189,monument,1
2190,invented,1
2191,pharmacy,1
2192,taxidermist,2
2193,stuffed,10
2194,dog,4
2195,pie-eyed,1
2196,dogs,4
2197,brighten,1
2198,exchange,2
2199,road,61
2200,paved,1
2201,unbought,1
2202,lover,1
2203,animals,5
2204,forty-four,1
2205,daunt,1
2206,daunted,8
2207,public,5
2208,george's,1
2209,pernods,1
2210,begin,1
2211,eaten,4
2212,nervous,9
2213,to-night,18
2214,eggs,6
2215,nix,1
2216,regular,3
2217,suggestion,1
2218,christmas,1
2219,nature-writer,1
2220,backed,4
2221,kidnap,1
2222,hullo,2
2223,bathed,1
2224,rot,12
2225,bathe,4
2226,nine,6
2227,nearest,1
2228,bistro,1
2229,brandies,1
2230,pestilential,1
2231,wrinkling,1
2232,moment,3
2233,terraces,1
2234,swim,6
2235,stage,2
2236,race-horses,1
2237,ile,1
2238,louis,2
2239,stud-book,1
2240,ate,13
2241,lecomte,4
2242,club,6
2243,list,1
2244,quaint,3
2245,quais,1
2246,untouched,1
2247,forty-five,1
2248,1918,1
2249,armistice,1
2250,fuss,1
2251,seeing,4
2252,roast,2
2253,chicken,5
2254,beans,1
2255,mashed,1
2256,potatoes,1
2257,salad,2
2258,apple-pie,1
2259,cheese,1
2260,chalked,1
2261,slate,1
2262,doubtless,1
2263,features,1
2264,compatriots,1
2265,lunch-time,1
2266,grew,4
2267,d'orléans,1
2268,broken,4
2269,walls,13
2270,houses,19
2271,circled,1
2272,bateau,1
2273,mouche,1
2274,notre,3
2275,dame,3
2276,squatting,1
2277,sky,4
2278,wooden,10
2279,foot-bridge,1
2280,bethune,1
2281,shadows,1
2282,rail,2
2283,piles,1
2284,cardinal,1
2285,lemoine,1
2286,shone,3
2287,underneath,2
2288,negre,2
2289,joyeux,1
2290,aux,1
2291,amateurs,2
2292,cooking,1
2293,potato-chips,1
2294,oil,2
2295,iron,6
2296,pot,2
2297,stew,2
2298,ladled,1
2299,plate,2
2300,narrow,7
2301,sides,10
2302,jutted,1
2303,fer,1
2304,rigid,2
2305,north,3
2306,jacques,1
2307,val,2
2308,grâce,1
2309,courtyard,1
2310,fence,16
2311,royal,2
2312,cafés,7
2313,damoy,1
2314,tanned,4
2315,healthy-looking,1
2316,hel-lo,3
2317,lad,3
2318,tea,1
2319,legs,11
2320,stockings,1
2321,patch,1
2322,dried,3
2323,blood,3
2324,gestured,2
2325,cigarette-holder,1
2326,host,1
2327,drunkard,1
2328,undischarged,1
2329,bankrupt,9
2330,ex-partner,1
2331,yesterday,4
2332,indecent,1
2333,fight,18
2334,fighting,4
2335,ledoux,2
2336,effort,2
2337,directly,7
2338,difficult,4
2339,outbursts,1
2340,affection,1
2341,excited,2
2342,blame,6
2343,9,1
2344,ledoux-kid,1
2345,francis,1
2346,20th,1
2347,hendaye,3
2348,golf,1
2349,beach,11
2350,anxious,4
2351,double-tapered,1
2352,25th,4
2353,wired,1
2354,otherwise,1
2355,bayonne,13
2356,mountains,21
2357,disgraceful,1
2358,bloody,14
2359,nuisance,1
2360,chantilly,1
2361,dining,1
2362,indeed,1
2363,tackle,4
2364,rods,4
2365,reels,3
2366,lines,7
2367,flies,4
2368,fish,11
2369,keeper,1
2370,barber,2
2371,loveliest,1
2372,brothel,2
2373,delambre,1
2374,bit,4
2375,rough,3
2376,congratulations,1
2377,behaved,2
2378,24th,1
2379,keen,1
2380,odd,2
2381,expected,4
2382,montoya,54
2383,latest,1
2384,burguete,15
2385,itinerary,1
2386,follow,8
2387,diner,2
2388,dining-car,5
2389,conductor,3
2390,tickets,10
2391,fifth,3
2392,servings,1
2393,reserved,3
2394,three-thirty,1
2395,thank,9
2396,advise,1
2397,sandwiches,5
2398,services,1
2399,company,4
2400,advised,1
2401,jump,1
2402,comment,1
2403,compartment,2
2404,son,4
2405,we've,2
2406,husband,1
2407,cars,4
2408,dayton,1
2409,ohio,1
2410,pilgrimage,1
2411,rome,1
2412,pilgrims,3
2413,goddam,1
2414,puritans,1
2415,boys,11
2416,state,2
2417,montana,10
2418,mighty,1
2419,trips,1
2420,winked,3
2421,damnation,1
2422,smoothed,1
2423,comfortable,5
2424,lap,4
2425,voted,1
2426,prohibition,1
2427,talks,1
2428,gang,3
2429,pilgrim,1
2430,fathers,1
2431,cornered,1
2432,seats,6
2433,hubert,5
2434,wagon,4
2435,steward,1
2436,announcing,1
2437,priests,1
2438,filing,2
2439,corridor,4
2440,chablis,2
2441,ten-thirty,1
2442,huh,1
2443,tipped,12
2444,grain,7
2445,beginning,4
2446,ripen,1
2447,fields,14
2448,poppies,1
2449,pastureland,1
2450,rivers,1
2451,chateaux,1
2452,tours,1
2453,comfortably,6
2454,swimming,4
2455,youngsters,1
2456,travelling,2
2457,dangerous,5
2458,snappers,1
2459,shows,1
2460,power,1
2461,ain't,1
2462,catholics,1
2463,buttonholed,1
2464,priest,2
2465,returning,1
2466,streams,3
2467,protestants,1
2468,join,4
2469,klan,1
2470,served,2
2471,successive,1
2472,d'hôte,1
2473,soaked,1
2474,jacket,2
2475,wear,2
2476,undershirts,1
2477,bordeaux,1
2478,station,13
2479,landes,1
2480,sun,24
2481,fire-gaps,1
2482,pines,2
2483,avenues,1
2484,wooded,5
2485,hills,18
2486,seven-thirty,1
2487,sandy,4
2488,pine,2
2489,heather,1
2490,clearings,1
2491,sawmill,1
2492,lanegresse,1
2493,change,5
2494,bull-fights,7
2495,rod-cases,1
2496,cabs,3
2497,buses,3
2498,runners,2
2499,near-sighted,1
2500,noticed,3
2501,cabman,1
2502,climbed,16
2503,cracked,4
2504,whip,1
2505,10,1
2506,sprinkling,2
2507,hunted,3
2508,store,4
2509,rod,6
2510,drygoods,1
2511,sold,3
2512,cheap,2
2513,landing-nets,2
2514,cathedral,8
2515,example,1
2516,dim,2
2517,churches,3
2518,fort,2
2519,syndicat,1
2520,d'initiative,1
2521,1st,1
2522,july,2
2523,tourist,1
2524,motor-car,3
2525,hired,2
2526,garage,1
2527,municipal,1
2528,theatre,4
2529,pick,4
2530,fresh,8
2531,smell,2
2532,breeze,5
2533,blow,3
2534,air,7
2535,sea,11
2536,pigeons,2
2537,sun-baked,2
2538,color,7
2539,packed,10
2540,beers,2
2541,matched,1
2542,sixteen,1
2543,apiece,5
2544,per,1
2545,cent,1
2546,cockroach,1
2547,parquet,1
2548,least,2
2549,inches,1
2550,pointed,7
2551,shoe,2
2552,garden,1
2553,duster,1
2554,blue,5
2555,collar,2
2556,cuffs,1
2557,piled,2
2558,basques,7
2559,oxen,1
2560,cattle,6
2561,hauling,2
2562,carts,3
2563,farmhouses,1
2564,roofs,6
2565,white-plastered,1
2566,basque,12
2567,villages,3
2568,well-off,1
2569,village,3
2570,pelota,3
2571,court,2
2572,forbidden,1
2573,tiled,1
2574,climb,3
2575,hillside,2
2576,valley,5
2577,stretched,5
2578,frontier,1
2579,stream,24
2580,carabineers,2
2581,patent-leather,1
2582,bonaparte,1
2583,hats,2
2584,guns,1
2585,backs,2
2586,frenchmen,1
2587,kepis,1
2588,mustaches,1
2589,passports,2
2590,general,3
2591,inn,14
2592,fill,3
2593,pointing,3
2594,carabineer,3
2595,fished,2
2596,sunburned,2
2597,beard,2
2598,gunny-sacking,1
2599,striding,2
2600,staff,1
2601,slung,2
2602,tied,5
2603,hanging,4
2604,passport,2
2605,guard,3
2606,thanked,2
2607,spat,2
2608,dust,10
2609,wade,3
2610,smuggling,1
2611,folding,2
2612,dusty,2
2613,top,15
2614,col,3
2615,winding,2
2616,forth,1
2617,itself,2
2618,brown,11
2619,far-off,1
2620,forests,1
2621,beech-trees,1
2622,mountainsides,1
2623,summit,2
2624,honk,1
2625,donkeys,1
2626,sleeping,8
2627,oak,1
2628,forest,7
2629,grazing,3
2630,grassy,3
2631,plains,2
2632,gloomy,5
2633,range,2
2634,baked-looking,1
2635,furrowed,2
2636,shapes,2
2637,ripe,1
2638,castle,2
2639,buildings,2
2640,field,3
2641,shifting,2
2642,plain,12
2643,shining,1
2644,plateau,10
2645,skyline,1
2646,slanting,1
2647,steeply,2
2648,dustily,1
2649,shade-trees,1
2650,levelling,1
2651,bull-ring,23
2652,concrete-looking,1
2653,helped,4
2654,flags,2
2655,hung,13
2656,staffs,1
2657,shade,8
2658,arcade,15
2659,runs,1
2660,rooms,5
2661,cleaned,3
2662,dining-rooms,1
2663,level,1
2664,opens,1
2665,bulls,70
2666,egg,5
2667,meat,2
2668,courses,2
2669,dessert,3
2670,fruit,2
2671,interpret,2
2672,waitress,1
2673,replacement,1
2674,meats,1
2675,awkward,2
2676,knowledge,1
2677,irritated,1
2678,pesetas,14
2679,bets,2
2680,angered,1
2681,usually,3
2682,foolishly,1
2683,satisfied,1
2684,iruña,12
2685,cinch,1
2686,fixed,4
2687,shop,2
2688,wicker,8
2689,barber-shop,3
2690,bath,9
2691,shady,2
2692,ayuntamiento,2
2693,subscribes,1
2694,renewed,1
2695,subscriptions,1
2696,archivist,1
2697,archives,2
2698,baize,1
2699,covered,6
2700,porter,4
2701,brush,2
2702,upper,5
2703,gray,9
2704,copper,2
2705,coins,1
2706,façade,1
2707,pillars,2
2708,praying,5
2709,smelt,2
2710,incense,2
2711,knelt,3
2712,pray,4
2713,prayed,5
2714,separately,1
2715,lumping,1
2716,sleepy,7
2717,reminded,1
2718,regretting,1
2719,kneeling,1
2720,wood,8
2721,ashamed,7
2722,regretted,1
2723,religion,1
2724,religious,7
2725,steps,2
2726,forefingers,1
2727,thumb,3
2728,sunlight,6
2729,side-streets,2
2730,haircut,1
2731,shampoo,1
2732,due,1
2733,devil,3
2734,enjoying,4
2735,nervousness,1
2736,baggage-truck,1
2737,civil,3
2738,lousy,4
2739,worst,2
2740,train-whistle,1
2741,headlight,1
2742,gates,2
2743,relatives,1
2744,eating,10
2745,finishing,2
2746,eh,3
2747,betting,1
2748,economic,1
2749,curious,1
2750,ordinarily,1
2751,regards,1
2752,unforgivingly,1
2753,jealous,1
2754,alter,1
2755,hate,6
2756,hated,2
2757,spell,1
2758,superiority,2
2759,barbering,1
2760,noon,8
2761,trains,5
2762,sooner,2
2763,cliff,3
2764,scheduled,2
2765,slept,7
2766,log,2
2767,speaks,2
2768,german,5
2769,suizo,4
2770,ticket,4
2771,silver,1
2772,five-peseta,1
2773,misunderstanding,1
2774,parties,2
2775,suggesting,1
2776,confidential,1
2777,giving,3
2778,pleasure,6
2779,understanding,1
2780,shaving,5
2781,confider,1
2782,bastard,1
2783,rub,1
2784,half-shaved,1
2785,lathered,1
2786,scraping,1
2787,darbs,1
2788,alongside,1
2789,damn-fool,1
2790,bloody-fool,1
2791,slurred,1
2792,dab,1
2793,lather,1
2794,cheek-bone,2
2795,honest,2
2796,thrown,3
2797,screen,1
2798,copy,2
2799,altar,1
2800,mothers,3
2801,daughters,1
2802,razor,1
2803,west,1
2804,ducked,2
2805,bowl,5
2806,rinsed,2
2807,alcohol,1
2808,pulling,6
2809,lip,1
2810,staying,2
2811,trout-fishing,2
2812,irati,6
2813,11,1
2814,baking,1
2815,rod-case,7
2816,ladder,4
2817,baggage,3
2818,boxes,4
2819,fans,1
2820,fitted,2
2821,saved,5
2822,leather,15
2823,wine-bag,5
2824,wine-skin,6
2825,imitated,1
2826,klaxon,2
2827,motor-horn,1
2828,spilled,1
2829,apologized,1
2830,fooled,1
2831,politely,2
2832,cork,4
2833,wine-bottles,3
2834,peasants,5
2835,false,3
2836,klaxons,1
2837,powdering,1
2838,view,3
2839,bluff,1
2840,knees,3
2841,wine-bottle,7
2842,saddle-leather,1
2843,smock,2
2844,wrinkles,1
2845,wagged,1
2846,forefinger,1
2847,slapping,1
2848,palm,1
2849,arriba,3
2850,lift,7
2851,spurt,1
2852,snatched,1
2853,owner,4
2854,demonstration,1
2855,length,3
2856,squeezing,1
2857,hissed,2
2858,trajectory,1
2859,swallowing,1
2860,regularly,1
2861,hey,4
2862,drinker,1
2863,waggled,1
2864,sharp,3
2865,quick,2
2866,lowered,2
2867,sadly,1
2868,posada,3
2869,packages,1
2870,mount,1
2871,farming,1
2872,sloped,1
2873,grain-fields,2
2874,hillsides,3
2875,blowing,5
2876,wheels,1
2877,patches,6
2878,bare,5
2879,water-courses,1
2880,sharply,4
2881,mules,7
2882,following,5
2883,high-hooded,1
2884,loaded,4
2885,freight,1
2886,lumber,1
2887,arriero,1
2888,driving,3
2889,brakes,1
2890,barren,2
2891,hard-baked,1
2892,clay,2
2893,rain,9
2894,curve,1
2895,passengers,1
2896,unstrapped,1
2897,roof,8
2898,tarpaulins,1
2899,saddles,1
2900,harness,1
2901,hay-forks,1
2902,clusters,1
2903,canvas,1
2904,rope-soled,2
2905,hams,1
2906,slabs,1
2907,bacon,1
2908,garlics,7
2909,sausages,1
2910,dusky,1
2911,counter,5
2912,serving,2
2913,drinks,6
2914,shelves,1
2915,stacked,2
2916,supplies,1
2917,goods,1
2918,aguardiente,2
2919,centimes,3
2920,tip,5
2921,misunderstood,1
2922,price,4
2923,slapped,4
2924,heat,6
2925,tin,1
2926,wiping,2
2927,apron,5
2928,mail-pouches,1
2929,waving,3
2930,conversation,2
2931,stubble,1
2932,denver,1
2933,los,1
2934,angeles,1
2935,salt,3
2936,lake,1
2937,named,7
2938,fifteen,3
2939,steadily,2
2940,rocks,1
2941,stuck,2
2942,grass,10
2943,squares,1
2944,strangely,1
2945,shaped,1
2946,changing,2
2947,oaks,1
2948,heat-baked,1
2949,clouds,6
2950,fences,2
2951,trunks,2
2952,double,2
2953,strung,1
2954,mountain,4
2955,metal-sheathed,1
2956,monastery,3
2957,roncesvalles,4
2958,roncevaux,1
2959,starts,2
2960,twelve,3
2961,metres,1
2962,crossroads,1
2963,school-yard,1
2964,cocked,1
2965,cross-straps,1
2966,permits,1
2967,whitewashed,2
2968,doorways,1
2969,beds,4
2970,washstand,1
2971,clothes-chest,1
2972,framed,3
2973,steel-engraving,1
2974,nuestra,1
2975,señora,1
2976,shutters,3
2977,sweaters,1
2978,ceiling,1
2979,oak-panelled,1
2980,weather,4
2981,upright,1
2982,piano,2
2983,bathroom,4
2984,cheaper,1
2985,summer,4
2986,included,1
2987,panel,2
2988,rabbits,1
2989,pheasants,1
2990,ducks,1
2991,panels,1
2992,smoky-looking,1
2993,cupboard,2
2994,liqueur,2
2995,rum,4
2996,punch,3
2997,pitcher,2
2998,steaming,1
2999,half-tumblerful,1
3000,action,4
3001,beats,1
3002,legislation,1
3003,laid,5
3004,supper,6
3005,blows,1
3006,vegetable,1
3007,soup,2
3008,fried,1
3009,wild,2
3010,strawberries,2
3011,counted,1
3012,12,1
3013,cleared,1
3014,diligence,2
3015,split,1
3016,motor-buses,3
3017,goat,1
3018,hopped,1
3019,jerked,1
3020,goats,2
3021,bounded,1
3022,stirring,1
3023,unbolted,1
3024,dew,1
3025,shed,1
3026,mattock,2
3027,dig,3
3028,worms,7
3029,bait,2
3030,shallow,1
3031,trouty,1
3032,loosened,1
3033,chunk,1
3034,sod,2
3035,slid,1
3036,dug,2
3037,digging,1
3038,tobacco-tins,1
3039,sifted,1
3040,interrupt,2
3041,burying,1
3042,lazy,2
3043,bum,3
3044,common,2
3045,sheet,1
3046,argue,1
3047,tackle-bag,3
3048,underclothes,1
3049,irony,10
3050,nets,1
3051,thumbed,1
3052,singing,11
3053,tune,1
3054,ringing,1
3055,gal,1
3056,week-old,1
3057,fratellinis,1
3058,buttered,3
3059,bread,4
3060,toasted,1
3061,ironical,4
3062,bowls,1
3063,dish,2
3064,raspberry,1
3065,crack,2
3066,primo,1
3067,rivera,1
3068,riff,1
3069,pitiful,2
3070,ironic,1
3071,gulp,1
3072,aw,1
3073,claim,1
3074,expatriated,1
3075,expatriate,4
3076,caffeine,3
3077,puts,1
3078,grave,1
3079,worth,7
3080,printing,1
3081,newspapers,2
3082,soil,1
3083,precious,1
3084,fake,2
3085,european,1
3086,standards,1
3087,ruined,2
3088,death,5
3089,obsessed,1
3090,sex,2
3091,spend,4
3092,group,3
3093,claims,3
3094,impotent,2
3095,accident,1
3096,spoken,2
3097,mystery,1
3098,henry's,1
3099,splendidly,1
3100,horseback,1
3101,tricycle,3
3102,plane,1
3103,joystick,1
3104,works,2
3105,pedal,3
3106,guy,4
3107,fonder,1
3108,faggot,2
3109,abraham,1
3110,lincoln,2
3111,jefferson,1
3112,davis,1
3113,freed,1
3114,slaves,1
3115,dred,1
3116,scott,1
3117,anti-saloon,2
3118,league,2
3119,explains,1
3120,judy,1
3121,o'grady,1
3122,lesbians,1
3123,skin,2
3124,rucksack,3
3125,carried,12
3126,meadow,2
3127,path,5
3128,slope,1
3129,sheep,1
3130,foot-log,2
3131,surfaced,1
3132,sapling,1
3133,bent,2
3134,tadpoles,1
3135,spotted,1
3136,sand,11
3137,truck,1
3138,faster-flowing,1
3139,ford,3
3140,joined,3
3141,beech,2
3142,roots,1
3143,bulked,1
3144,branches,2
3145,twisted,5
3146,beeches,1
3147,foliage,1
3148,undergrowth,1
3149,spaced,1
3150,dipped,1
3151,height,1
3152,highest,1
3153,growing,1
3154,sunny,2
3155,ridge,3
3156,clearing,3
3157,gorse,1
3158,bluffs,1
3159,jutting,1
3160,marked,3
3161,rio,1
3162,fabrica,1
3163,shadow,5
3164,river-valley,1
3165,buckwheat,1
3166,dam,11
3167,pack,4
3168,jointed,1
3169,leaders,1
3170,mcgintys,1
3171,yeah,1
3172,fly-book,1
3173,worm,1
3174,flick,1
3175,flowed,1
3176,pipe,6
3177,knocking,1
3178,corks,1
3179,firmly,2
3180,wrist,2
3181,numbed,1
3182,slab,1
3183,tree,6
3184,bait-can,1
3185,landing-net,1
3186,provide,1
3187,logs,1
3188,squared,2
3189,timbers,3
3190,tumbled,1
3191,falls,5
3192,deep,8
3193,baited,2
3194,shot,6
3195,baiting,1
3196,jumped,3
3197,arc,1
3198,disappearing,1
3199,thundering,1
3200,good-sized,1
3201,sinker,1
3202,strike,1
3203,bending,1
3204,boiling,1
3205,swung,4
3206,timber,2
3207,quivered,1
3208,slipped,2
3209,hooked,4
3210,size,2
3211,heads,13
3212,beautifully,2
3213,colored,1
3214,firm,4
3215,slit,1
3216,shucked,1
3217,insides,1
3218,gills,1
3219,tossed,2
3220,ashore,2
3221,ferns,5
3222,layer,2
3223,fems,1
3224,bulky,1
3225,worm-can,1
3226,trunk,1
3227,e,1
3228,mason,1
3229,frozen,1
3230,alps,1
3231,fallen,3
3232,glacier,2
3233,disappeared,3
3234,bride,1
3235,twenty-four,1
3236,moraine,1
3237,net,1
3238,sweating,1
3239,bigger,1
3240,sweaty,2
3241,smaller,2
3242,smallest,1
3243,wet,11
3244,waist,1
3245,wading,1
3246,moisture,1
3247,uncorked,2
3248,drying,1
3249,plump,1
3250,whew,1
3251,ache,2
3252,icy,1
3253,tasted,2
3254,faintly,1
3255,rusty,1
3256,filthy,1
3257,helps,1
3258,unwrapped,2
3259,parcels,1
3260,bryan,5
3261,peeling,1
3262,drumstick,4
3263,reverse,1
3264,order,6
3265,tribute,1
3266,commoner,1
3267,created,1
3268,sucking,1
3269,question,1
3270,rejoice,2
3271,blessings,1
3272,utilize,8
3273,fowls,1
3274,product,1
3275,vine,1
3276,pry,1
3277,holy,2
3278,mysteries,1
3279,hen-coop,1
3280,simian,1
3281,fingers,3
3282,accept,1
3283,faith,1
3284,kneel,2
3285,out-of-doors,1
3286,temples,1
3287,brothers,1
3288,frankie,2
3289,fritsch,2
3290,fordham,1
3291,loyola,2
3292,bishop,2
3293,manning,2
3294,cock-eyed,3
3295,humidity,2
3296,affectionately,1
3297,wayne,2
3298,b,2
3299,wheeler,2
3300,austin,1
3301,saloon,2
3302,classmate,1
3303,nap,1
3304,fella,3
3305,technically,1
3306,packing,1
3307,stiff,2
3308,dreamt,1
3309,biggest,1
3310,dreamers,1
3311,coolidge,1
3312,rockefeller,1
3313,davidson,1
3314,disjointed,1
3315,trout-bags,1
3316,worm-cans,1
3317,flap,1
3318,pockets,1
3319,elm-trees,1
3320,three-handed,1
3321,harris,30
3322,jean,5
3323,pied,1
3324,stopping,2
3325,13,1
3326,coffee-cup,1
3327,forwarded,3
3328,dated,1
3329,friday,1
3330,ours,2
3331,tuesday,1
3332,rejoin,1
3333,tues,1
3334,practically,1
3335,loses,1
3336,track,1
3337,meeting,1
3338,jolly,3
3339,there's,1
3340,warming,3
3341,bench,2
3342,wallet,1
3343,por,1
3344,ustedes,1
3345,sign,6
3346,coppers,1
3347,vengo,1
3348,jueves,1
3349,words,3
3350,thursday,1
3351,dope,2
3352,answer,3
3353,post-office,2
3354,telegraph,2
3355,blank,2
3356,intending,1
3357,chapel,5
3358,deceive,1
3359,utilizing,1
3360,innkeeper,2
3361,fourth,1
3362,wilson-harris,2
3363,hyphen,1
3364,we're,1
3365,first-rate,1
3366,remind,1
3367,plaza,5
3368,stringing,1
3369,electric-light,1
3370,wires,2
3371,customs,2
3372,officer,1
3373,bundles,1
3374,embarrassed,8
3375,villar,1
3376,miuras,2
3377,desencajonada,1
